"ID","Titre","Sujets","Texte"
"1","Eviter les mauvaises rencontres","Voyages - Carte","&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Principes de base :&lt;/span&gt;&lt;/span&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;On fait beaucoup moins de rencontres sur les routes.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;On fait beaucoup moins de rencontres sur les territoires cartographi&amp;eacute;s.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Certaines unit&amp;eacute;s (comme les &amp;eacute;claireurs) permettent de &quot;v&amp;eacute;rifier&quot; un territoire. Si vous avancez un &amp;eacute;claireur sur un territoire et qu&apos;il n&apos;y fait pas de rencontre, vous n&apos;aurez pas de rencontre non plus avec toutes les unit&amp;eacute;s que vous avancerez sur le m&amp;ecirc;me territoire dans la m&amp;ecirc;me journ&amp;eacute;e.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous avez 5 unit&amp;eacute;s militaires ou plus (ou 5 &quot;gardes&quot; - milices ou autres) qui sont DEJA sur le territoire, il n&apos;y a plus de rencontre sur ce territoire pour vous et tous ceux de votre nation (Territoire pacifi&amp;eacute;).&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous avez un b&amp;acirc;timent militaire sur un territoire, il n&apos;y a plus de rencontre pour personne (Territoire pacifi&amp;eacute;).&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous mettez un territoire &quot;en alerte&quot;, il n&apos;y a plus de rencontre pour personne (Territoire pacifi&amp;eacute;).&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Sachant cela, vous pouvez donc observer certaines r&amp;egrave;gles de s&amp;eacute;curit&amp;eacute; :&lt;/span&gt;&lt;/span&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Si vous avez des &amp;eacute;claireurs (ou autres unit&amp;eacute;s qui ont cette comp&amp;eacute;tence), ne JAMAIS avancer une unit&amp;eacute; importante sur un territoire non pacifi&amp;eacute; sans &quot;&amp;eacute;clairer&quot; avant.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous n&apos;avez pas d&apos;&amp;eacute;claireurs, essayez d&apos;en acheter ou d&apos;en cr&amp;eacute;er.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous n&apos;avez pas la possibilit&amp;eacute; d&apos;en avoir, ne JAMAIS avancer une unit&amp;eacute; importante sur un territoire non pacifi&amp;eacute;.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous n&apos;avez pas la possibilit&amp;eacute; de pacifier des territoires, ne JAMAIS avancer une unit&amp;eacute; importante sur une case non cartographi&amp;eacute;e.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Ne JAMAIS essayer d&apos;&amp;eacute;clairer avec des unit&amp;eacute;s qui n&apos;ont pas la comp&amp;eacute;tence des &amp;eacute;claireurs. Ca fait juste plus de mouvements qui vont attirer plus de monstres ! &lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;"
"2","Bataillons &quot;en construction&quot; après un combat","Combats","Apr&amp;egrave;s un combat, il peut arriver que certains bataillons se retrouvent &quot;en construction&quot;...&lt;br&gt;&#xD;&#xA;Il peut y avoir 2 raisons &amp;agrave; cela :&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Bataillons de d&amp;eacute;serteurs :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Certains bataillons ont tendance a fuir les combats.&lt;br&gt;&#xD;&#xA;Un bataillon (ou une partie d&apos;un bataillon) qui a fuit d&amp;egrave;s le d&amp;eacute;but du combat se retrouve &quot;en construction&quot; (1 jour).&lt;br&gt;&#xD;&#xA;Cela les exclus du combat, et vous oblige a passer un jour apr&amp;egrave;s le combat pour aller les r&amp;eacute;cup&amp;eacute;rer dans la cambrousse !&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Les bataillons qui ont tendance a fuir sont ceux compos&amp;eacute;s d&apos;unit&amp;eacute;s inoffensives (paysans, serfs et autres civils).&#xD;&#xA;Les d&amp;eacute;serteurs sont r&amp;eacute;cup&amp;eacute;r&amp;eacute;s &amp;agrave; la fin du combat par le gagnant.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Bataillons sauv&amp;eacute;s par des m&amp;eacute;decins :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Lorsque des unit&amp;eacute;s meurent en combat et que vous avez des unit&amp;eacute;s sur place qui ont une comp&amp;eacute;tence en m&amp;eacute;decine (Barbier, Infirmerie...), il peut arriver qu&apos;elles soient sauv&amp;eacute;es de la mort par les m&amp;eacute;decins.&lt;br&gt;&#xD;&#xA;Elles se retrouvent alors &quot;en construction&quot; (2 jours).&lt;br&gt;&#xD;&#xA;Les bless&amp;eacute;s sont r&amp;eacute;cup&amp;eacute;r&amp;eacute;s &amp;agrave; la fin du combat si vous gagnez. Si vous perdez ou fuyez, ils seront abattus par l&apos;ennemi.&lt;br&gt;"
"3","Détection, discrétion, surprise","Voyages - Carte","Lors d&apos;une rencontre il y a un jet de d&amp;eacute;tection/discr&amp;eacute;tion d&amp;eacute;terminant qui a vu qui, et &amp;eacute;ventuellement qui a surpris qui...&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Discr&amp;eacute;tion :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;La plus mauvaise discr&amp;eacute;tion de toute la troupe est utilis&amp;eacute;e. Donc si vous associez des unit&amp;eacute;s discr&amp;egrave;tes avec d&apos;autres qui le sont moins, vos unit&amp;eacute;s discr&amp;egrave;tes cessent de l&apos;&amp;ecirc;tre.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;D&amp;eacute;tection :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;La meilleure discr&amp;eacute;tion est en principe utilis&amp;eacute;e, mais a condition que le bataillon la poss&amp;eacute;dant soit suffisamment  important pour &quot;couvrir&quot; la troupe... Pour &amp;ecirc;tre exact, il ne doit pas &amp;ecirc;tre plus de 36 fois plus petit (en nombre d&apos;unit&amp;eacute;s) que le reste de la troupe.&lt;br&gt;&#xD;&#xA;Donc 1 &amp;eacute;claireur peut &quot;couvrir&quot; de 1 &amp;agrave; 36 unit&amp;eacute;s, mais il vous faut 2 &amp;eacute;claireurs pour 37 &amp;agrave; 72 unit&amp;eacute;s.&lt;br&gt;&#xD;&#xA;Attention! Il faut regrouper vos &amp;eacute;claireurs pour qu&apos;ils &quot;couvrent&quot; plus de 36 unit&amp;eacute;s...&lt;br&gt;&#xD;&#xA;A partir de 3 &amp;eacute;claireurs, vous pouvez &quot;couvrir&quot; n&apos;importe quelle troupe.&lt;br&gt;"
"4","Blocage d&apos;une troupe après un combat","Combats","Lorsque vous attaquez (d&amp;eacute;lib&amp;eacute;r&amp;eacute;ment ou non) une position avec une troupe importante, elle risque d&apos;&amp;ecirc;tre bloqu&amp;eacute;e durant 1 &amp;agrave; 24 heures.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Temps de blocage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Une troupe de moins de 75 points d&apos;arm&amp;eacute;e ne sera jamais bloqu&amp;eacute;e.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Une troupe de 75 points d&apos;arm&amp;eacute;e pourra &amp;ecirc;tre bloqu&amp;eacute;e maximum 18 heures.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Une troupe de 150 points d&apos;arm&amp;eacute;e ou plus pourra &amp;ecirc;tre bloqu&amp;eacute;e maximum 24 heures.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Le temps de blocage d&amp;eacute;pendra du nombre de points d&apos;arm&amp;eacute;e de la position qui a &amp;eacute;t&amp;eacute; &lt;nobr&gt;attaqu&amp;eacute;e :&lt;/nobr&gt; Entre 1 heure pour 15 points et 24 heures pour 40 points ou plus (pas de blocage en dessous de 15 points).&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Le temps de blocage est r&amp;eacute;duit &amp;agrave; z&amp;eacute;ro si l&apos;arm&amp;eacute;e de d&amp;eacute;fense d&amp;eacute;passe 800 points.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Conditions du blocage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Un bataillon bloqu&amp;eacute; ne peut plus bouger mais peut encore &amp;ecirc;tre regroup&amp;eacute;.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Tout bataillon regroup&amp;eacute; avec un bataillon bloqu&amp;eacute; sera bloqu&amp;eacute; &amp;eacute;galement.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous embarquez un bataillon bloqu&amp;eacute;, l&apos;embarcation deviendra bloqu&amp;eacute;e &amp;eacute;galement.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;D&amp;eacute;blocage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Un bataillon sera d&amp;eacute;bloqu&amp;eacute; si il est attaqu&amp;eacute; par une troupe de 150 points ou plus durant 4 tours ou plus.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Un bataillon sera d&amp;eacute;bloqu&amp;eacute; si il est attaqu&amp;eacute; durant 7 tours ou plus.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;"
"5","Indicateur d&apos;armée","Combats","&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;R&amp;egrave;gles de l&apos;indicateur :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;L&apos;indicateur d&apos;arm&amp;eacute;e est un petit losange rouge qui appara&amp;icirc;t &amp;agrave; la place du &quot;c&quot; indiquant un territoire cartographi&amp;eacute;, uniquement pour les joueurs qui ont cartographi&amp;eacute; celui-ci.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;L&apos;indicateur d&apos;arm&amp;eacute;e se met automatiquement lorsqu&apos;un joueur clique sur un territoire sur lequel il a 500 points d&apos;arm&amp;eacute;e ou plus (b&amp;acirc;timents exclus).&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;L&apos;indicateur d&apos;arm&amp;eacute;e se met automatiquement lorsqu&apos;un joueur clique sur un territoire sur lequel il a 85 unit&amp;eacute;s non furtives ou plus.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;L&apos;indicateur reste sur le territoire m&amp;ecirc;me lorsque l&apos;arm&amp;eacute;e a quitt&amp;eacute; le territoire.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Lorsque ce joueur passe au jour suivant, tous ses indicateurs d&apos;arm&amp;eacute;e aux endroits o&amp;ugrave; il n&apos;a plus d&apos;arm&amp;eacute;e (500 pts ou 85 unit&amp;eacute;s) disparaissent.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;Pour r&amp;eacute;sumer, l&apos;indicateur indique en fait les endroits o&amp;ugrave; une arm&amp;eacute;e est pass&amp;eacute;e dans la journ&amp;eacute;e. (La journ&amp;eacute;e de celui &amp;agrave; qui appartient l&apos;arm&amp;eacute;e).&lt;br&gt;"
"6","Barrages","Voyages - Carte","&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Cr&amp;eacute;ation d&apos;un barrage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Vous devez avoir sur place soit 1 b&amp;acirc;timent militaire soit 5 unit&amp;eacute;s militaires (ou assimil&amp;eacute;es : Toute unit&amp;eacute; ayant comme &quot;attitude&quot; : &quot;Attaque&quot; ou &quot;attaque si plus fort&quot; est assimill&amp;eacute;e &amp;agrave; une unit&amp;eacute; militaire dans ce cas).&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Vous devez avoir sur place une fortification pouvant servir de barrage (Palissades, Chevaux de frise, etc...). Vous pouvez voir lesquelles fonctionnent dans le d&amp;eacute;tail des unit&amp;eacute;s.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Au moment de la cr&amp;eacute;ation du barrage, il ne peut pas y avoir sur le territoire des unit&amp;eacute;s appartenant &amp;agrave; d&apos;autres joueurs.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Effets d&apos;un barrage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Un barrage sert &amp;agrave; emp&amp;ecirc;cher les autres joueurs d&apos;entrer sur un territoire.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Un barrage ne bloque que les joueurs avec lesquels vous &amp;ecirc;tes en diplomatie &quot;paix&quot;. Les alli&amp;eacute;s peuvent passer sans crainte, tandis que les joueurs avec lesquels vous &amp;ecirc;tes en diplo guerre ou CLF seront attaqu&amp;eacute;s par vos unit&amp;eacute;s sur place.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Dur&amp;eacute;e d&apos;un barrage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;L&apos;effet d&apos;un barrage dure tant que vous ne l&apos;avez pas lev&amp;eacute;.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Si vous ne laissez pas sur place les unit&amp;eacute;s n&amp;eacute;cessaires &amp;agrave; son maintient (celles que vous deviez avoir pour sa cr&amp;eacute;ation), le barrage deviendra obsol&amp;egrave;te : Il n&apos;aura plus d&apos;effet, mais restera indiqu&amp;eacute; sur la carte tant que personne n&apos;aura cliqu&amp;eacute; sur le territoire.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Visibilit&amp;eacute; d&apos;un barrage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;Les barrages sont visibles sur la carte (petite croix rouge) pour tous les joueurs qui peuvent voir le territoire.&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;Les joueurs ayant cartographi&amp;eacute; le territoire sur lequel se trouve le barrage verront, en plus de la croix rouge, au moins une ic&amp;ocirc;ne. Cette ic&amp;ocirc;ne sera celle d&apos;une de ses unit&amp;eacute;s, celle d&apos;un b&amp;acirc;timent, ou bien, si il n&apos;y a sur place ni unit&amp;eacute; a lui ni b&amp;acirc;timent, une ic&amp;ocirc;ne militaire neutre (gris&amp;eacute;e). Ces joueurs peuvent donc toujours cliquer sur le territoire en question, et donc supprimer le barrage s&apos;il est obsol&amp;egrave;te.&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;"
"7","Coûts de déplacement","Voyages - Carte","&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Indication des co&amp;ucirc;ts de d&amp;eacute;placement dans l&apos;onglet carte :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;ul&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;vert&quot;&gt;Ranger&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;jaunefade&quot;&gt;Fantassin l&amp;eacute;ger&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;jaune&quot;&gt;Fantassin lourd&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;orange&quot;&gt;Cheval&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;mauveblanc&quot;&gt;Engin&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;blanc&quot;&gt;Volant 1&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;blanc&quot;&gt;Volant 2&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;ciel&quot;&gt;Cabotage&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;bleuc&quot;&gt;Bateau&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;  &lt;li&gt;&lt;span class=&quot;bleu&quot;&gt;Navire&lt;/span&gt;&lt;/li&gt;&#xD;&#xA;&lt;/ul&gt;&#xD;&#xA;&#xD;&#xA;Les nombres indiqu&amp;eacute;s sont les co&amp;ucirc;ts de d&amp;eacute;placement th&amp;eacute;oriques : Ne vous &amp;eacute;tonnez pas si parfois les al&amp;eacute;as du voyage y mettent leur grain de sel !"
"8","Mode ralenti","Voyages - Carte","xxxx Mode ralenti"
"9","Formation","Unités","Les formations vous permettent de cr&amp;eacute;er des unit&amp;eacute;s sans avoir la technologie requise.&lt;br&gt;&#xD;&#xA;Les endroits (b&amp;acirc;timent et joueurs) o&amp;ugrave; vous pouvez faire la formation sont indiqu&amp;eacute;s dans le d&amp;eacute;tail de l&apos;unit&amp;eacute;.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Example pour la formation d&apos;un armurier :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Il vous suffit d&apos;amener le &quot;co&amp;ucirc;t d&apos;unit&amp;eacute;&quot; (un forgeron) sur le territoire o&amp;ugrave; se trouve le b&amp;acirc;timent de formation (armurerie).&lt;br&gt;&#xD;&#xA;L&amp;agrave;, dans l&apos;onglet carte, cliquez sur &quot;Formation&quot; : Cela ouvrira l&apos;onglet formation.&lt;br&gt;&#xD;&#xA;Vous n&apos;avez pas besoin de demander la permission au joueur &amp;agrave; qui appartient le b&amp;acirc;timent pour faire la formation : Il suffit de cliquer sur &quot;Former 1 armurier&quot;.&lt;br&gt;&#xD;&#xA;Une fois la formation commenc&amp;eacute;e, vous aurez la technologie &quot;armurier&quot;, comme si vous l&apos;aviez cr&amp;eacute;&amp;eacute; vous m&amp;ecirc;me.&lt;br&gt;&#xD;&#xA;Dans de nombreux cas, le fait d&apos;avoir cette technologie vous permettra par la suite de cr&amp;eacute;er vos propres unit&amp;eacute;s sans besoin de passer &amp;agrave; nouveau par la formation.&lt;br&gt;"
"10","Blocage d&apos;un territoire après un combat","Combats","Lorsque vous attaquez (d&amp;eacute;lib&amp;eacute;r&amp;eacute;ment ou non) une position avec une arm&amp;eacute;e, vous ne pourrez plus acheminer d&apos;autres unit&amp;eacute;s sur le territoire pendant 24 heures.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;Conditions du blocage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Le territoire se bloque seulement si votre troupe a 500 points d&apos;arm&amp;eacute;e ou plus et que la troupe du d&amp;eacute;fenseur a 300 points d&apos;arm&amp;eacute;e ou plus.&lt;br&gt;&#xD;&#xA;Le territoire ne sera bloqu&amp;eacute; que pour vous.&lt;br&gt;&#xD;&#xA;Vous pouvez encore agir sur les unit&amp;eacute;s qui s&apos;y trouvent, et m&amp;ecirc;me d&amp;eacute;clencher un combat, mais vous ne pouvez pas y amener d&apos;autres unit&amp;eacute;s.&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;&lt;span class=&quot;bigtxt&quot;&gt;&lt;span class=&quot;blanc&quot;&gt;D&amp;eacute;blocage :&lt;/span&gt;&lt;/span&gt;&lt;br&gt;&lt;br&gt;&#xD;&#xA;&#xD;&#xA;Le territoire ne se d&amp;eacute;bloque que si un autre joueur le bloque.&lt;br&gt;&lt;br&gt;"
