"ID","Ressource","Type","Player","Team","Quantite","ContainerID","Unit","Marchand","Marchandise","Prix10","AV","Max"
"71","Dricks","","Serenissime","SERE","820","","","","","","",""
"72","Bois","","Serenissime","SERE","926","","","","","","",""
"73","Metal","","Serenissime","SERE","782","","","","","","",""
"74","Pierre","","Serenissime","SERE","1278","","","","","","",""
"75","Chevrons de construction","","Serenissime","SERE","383","","","","","","",""
"76","Cereales","","Serenissime","SERE","1278","","","","","","",""
"77","Pain","Nourriture","Serenissime","SERE","110","","","","","","",""
"79","Charbon","Industrie","Serenissime","SERE","383","","","","","","",""
"80","Cuir","Artisanat_Industrie","Serenissime","SERE","400","","","","","","",""
"81","Fruits","Nourriture","Serenissime","SERE","123","","","","","","",""
"82","Gibier","Nourriture","Serenissime","SERE","148","","","","","","",""
"83","Papier","Artisanat_Industrie","Serenissime","SERE","46","","","","","","",""
"84","Poissons","Nourriture","Serenissime","SERE","184","","","","","","",""
"85","Vegetaux","Agriculture","Serenissime","SERE","1368","","","","","","",""
"86","Viande","Nourriture","Serenissime","SERE","33","","","","","","",""
"87","Gemmes","Rare","Serenissime","SERE","344","","","","","","",""
"103","Acier","Artisanat_Industrie","Serenissime","SERE","103","","","","","","",""
"104","Moral","Productivite","Serenissime","SERE","475","","","","","","",""
"105","Tissu","Artisanat_Industrie","Serenissime","SERE","66","","","","","","",""
"114","Dricks","","Empire","","630","","","","","","",""
"115","Pain","","Empire","","566","","","","","","",""
"116","Bois","Artisanat_Industrie","Empire","","408","","","","","","",""
"117","Metal","Artisanat_Industrie","Empire","","371","","","","","","",""
"118","Cereales","Agriculture","Empire","","1230","","","","","","",""
"119","Pierre","Artisanat_Industrie","Empire","","1424","","","","","","",""
"120","Chevrons de construction","Artisanat_Industrie","Empire","","607","","","","","","",""
"121","Nourriture","","Empire","MI5","3407","","","","","","",""
"132","Grain","Agriculture","Serenissime","SERE","1192","","","","","","",""
"134","Charbon","Industrie","Empire","MI5","678","","","","","","",""
"135","Cuir","Artisanat_Industrie","Empire","MI5","76","","","","","","",""
"136","Fruits","Nourriture","Empire","MI5","73","","","","","","",""
"137","Gibier","Nourriture","Empire","MI5","46","","","","","","",""
"138","Moral","Productivite","Empire","MI5","133","","","","","","",""
"139","Poissons","Nourriture","Empire","MI5","571","","","","","","",""
"140","Vegetaux","Agriculture","Empire","MI5","709","","","","","","",""
"141","Viande","Nourriture","Empire","MI5","79","","","","","","",""
"142","Acier","Artisanat_Industrie","Empire","MI5","117","","","","","","",""
"143","Grain","Agriculture","Empire","MI5","1052","","","","","","",""
"144","Pierres de vie","Rare","Empire","MI5","28","","","","","","",""
"145","Gemmes","Rare","Empire","MI5","143","","","","","","",""
"147","Engrenages","Industrie","Empire","MI5","91","","","","","","",""
"148","Epices","Rare","Empire","MI5","24","","","","","","",""
"149","Papier","","Empire","","157","","","","","","",""
"154","Engrenages","Industrie","Serenissime","SERE","131","","","","","","",""
"155","Spiritueux","Artisanat_Industrie","Empire","MI5","151","","","","","","",""
"156","Cadavres frais","Rare","Empire","MI5","63","","","","","","",""
"157","Perles","Rare","Empire","MI5","98","","","","","","",""
"158","Tissu","Artisanat_Industrie","Empire","MI5","61","","","","","","",""
"159","Voile","Industrie","Empire","MI5","25","","","","","","",""
"173","Encens","Alchimie","Empire","MI5","136","","","","","","",""
"175","Perles","Rare","Serenissime","SERE","156","","","","","","",""
"176","Dricks","","Creatures","NJ","1139","","","","","","",""
"198","Dricks","","Nehbnefer","","971","","","","","","",""
"199","Pain","Nourriture","Nehbnefer","","556","","","","","","",""
"200","Bois","Artisanat_Industrie","Nehbnefer","","3032","","","","","","",""
"201","Metal","Artisanat_Industrie","Nehbnefer","","2107","","","","","","",""
"202","Cereales","Agriculture","Nehbnefer","","2084","","","","","","",""
"203","Pierre","Artisanat_Industrie","Nehbnefer","","2318","","","","","","",""
"204","Chevrons de construction","Artisanat_Industrie","Nehbnefer","","301","","","","","","",""
"205","Nourriture","","Nehbnefer","OR","6980","","","","","","",""
"206","Cuir","Artisanat_Industrie","Nehbnefer","OR","276","","","","","","",""
"207","Fruits","Nourriture","Nehbnefer","OR","510","","","","","","",""
"208","Gemmes","Rare","Nehbnefer","OR","368","","","","","","",""
"209","Gibier","Nourriture","Nehbnefer","OR","1543","","","","","","",""
"210","Moral","","Nehbnefer","","500","","","","","","",""
"211","Pierres de vie","Rare","Nehbnefer","OR","251","","","","","","",""
"212","Poissons","Nourriture","Nehbnefer","OR","659","","","","","","",""
"213","Vegetaux","Agriculture","Nehbnefer","OR","2793","","","","","","",""
"214","Viande","Nourriture","Nehbnefer","OR","452","","","","","","",""
"215","Acier","Artisanat_Industrie","Nehbnefer","OR","858","","","","","","",""
"216","Charbon","Industrie","Nehbnefer","OR","748","","","","","","",""
