"ID","GameID","KingID","TeamName","URL","Titre","Notes","Region","HCMap","HRMap"
"2","","Bakhtawar","","HC=59&amp;HR=98&amp;HCM=52&amp;HRM=90","Hemboko","","Hitze","52","90"
"4","","Nikolai","","HC=86&amp;HR=38&amp;HCM=78&amp;HRM=32","Bastion d&apos;entrainement de la Milice","","Landes Amères / Pays Dur / Forêt Centrale / Harapan","78","32"
"5","","Nikolai","","HC=72&amp;HR=60&amp;HCM=64&amp;HRM=54","NobodzGrad","","La Verte / Le Grenier / La Sérénissime","64","54"
"6","","Bakhtawar","","HC=75&amp;HR=95&amp;HCM=64&amp;HRM=93","Tushpahassapticon","","Jungle Mahoud","64","93"
"13","","Lear","","HC=100&amp;HR=64&amp;HCM=92&amp;HRM=58","Le Verger","","Grande Forêt / Vallée de l&apos;Encens","92","58"
"16","","Nikolai","","HC=50&amp;HR=95&amp;HCM=42&amp;HRM=92","N&apos;Kabirksounamoun","","Vallée des Mourants","42","92"
"21","","Bakhtawar","","HC=65&amp;HR=106&amp;HCM=60&amp;HRM=100","Yllo Mago","","Jungle Mouvante","60","100"
"22","","Bakhtawar","","HC=67&amp;HR=94&amp;HCM=60&amp;HRM=88","Mahoudneh","","Hitze","60","88"
"23","","Bakhtawar","","HC=80&amp;HR=89&amp;HCM=72&amp;HRM=80","Ssiles Bakhwanah","","Pays des Caïmans / Jungle Mahoud","72","80"
"26","","Bakhtawar","","HC=81&amp;HR=85&amp;HCM=70&amp;HRM=80","Tanyr Aranyah","","Pays des Caïmans","70","80"
"27","","Bakhtawar","","HC=88&amp;HR=91&amp;HCM=80&amp;HRM=80","Gol-Drako","","Jungle Mahoud / Golfe des Epices","80","80"
"28","","Bakhtawar","","HC=93&amp;HR=79&amp;HCM=84&amp;HRM=71","Pont de Terre","","Pont de Terre","84","71"
"29","","Bakhtawar","","HC=94&amp;HR=75&amp;HCM=84&amp;HRM=63","Fuermount","","Pont de Terre","84","63"
"30","","Bakhtawar","","HC=86&amp;HR=81&amp;HCM=78&amp;HRM=75","Moustic","","Pays des Caïmans / Pont de Terre","78","75"
"31","","Bakhtawar","","HC=110&amp;HR=72&amp;HCM=96&amp;HRM=68","Sidi Bou Saïd","","Côte Chaude / Mer Intérieure","96","68"
"32","","Bakhtawar","","HC=101&amp;HR=81&amp;HCM=90&amp;HRM=79","In Saïd","","Pont de Terre","90","79"
