"ID","Player","Unit"
"41","Serenissime","Paysan"
"42","Serenissime","Eclaireur"
"43","Serenissime","Feu de camp"
"70","Serenissime","Fermier"
"72","Serenissime","Bucheron"
"73","Serenissime","Mineur"
"74","Serenissime","Chasseur"
"75","Serenissime","Esclave"
"76","Serenissime","Charbonnier"
"77","Serenissime","Chef de chantier"
"78","Serenissime","Champs"
"79","Serenissime","Ferme"
"80","Serenissime","Carrière"
"81","Serenissime","Mine"
"82","Serenissime","Homme d&apos;arme"
"83","Serenissime","Tour de guet"
"84","Serenissime","Scierie"
"85","Serenissime","Charbonnage"
"86","Serenissime","Papeterie"
"87","Serenissime","Pâtures"
"88","Serenissime","Lancier"
"89","Serenissime","Pêcheur"
"90","Serenissime","Ecuries"
"91","Serenissime","Forgeron"
"92","Serenissime","Orpailleur"
"93","Serenissime","Boucherie"
"94","Serenissime","Camp"
"95","Serenissime","Echoppe"
"97","Serenissime","Puits"
"98","Serenissime","Boquillon"
"99","Serenissime","Eclaireur monté"
"100","Serenissime","Phare"
"101","Serenissime","Grange"
"102","Serenissime","Forge"
"103","Serenissime","Duc régnant"
"104","Serenissime","Garde du corps"
"105","Serenissime","Comte régnant"
"171","Serenissime","Chiffonnier"
"172","Serenissime","Glaneur"
"178","Serenissime","Marin"
"180","Serenissime","Moulin"
"181","Serenissime","Estrade"
"192","Serenissime","Armurier"
"216","Serenissime","Constructeur naval"
"217","Empire","Feu de camp"
"218","Empire","Paysan"
"219","Empire","Garde du corps"
"220","Empire","Comte régnant"
"221","Empire","Scierie"
"222","Empire","Mine"
"223","Empire","Clairière sacrée"
"224","Empire","Champs"
"225","Empire","Carrière"
"226","Empire","Source de vie"
"241","Serenissime","Chantier naval"
"242","Serenissime","Maître forgeron"
"243","Empire","Bucheron"
"244","Empire","Chasseur"
"245","Empire","Chef de chantier"
"246","Empire","Charbonnage"
"247","Serenissime","Atelier"
"248","Empire","Fermier"
"249","Empire","Puits"
"250","Empire","Homme d&apos;arme"
"251","Empire","Autel"
"254","Empire","Forgeron"
"257","Empire","Grange"
"258","Empire","Moulin"
"260","Empire","Ferme"
"261","Empire","Tour de guet"
"262","Empire","Boulangerie"
"263","Empire","Pêcheur"
"264","Empire","Mineur"
"265","Empire","Orpailleur"
"266","Empire","Glaneur"
"267","Empire","Pâtures"
"268","Empire","Moulin à eau"
"274","Empire","Estrade"
"275","Empire","Forge"
"276","Empire","Armurier"
"277","Empire","Maître forgeron"
"278","Empire","Atelier"
"280","Empire","Echoppe"
"284","Empire","Ecuries"
"285","Empire","Papeterie"
"287","Empire","Marché"
"290","Empire","Grenier"
"294","Empire","Eclaireur monté"
"296","Empire","Cantinier"
"300","Empire","Bibliothèque"
"301","Empire","Boucherie"
"303","Empire","Ingénieur"
"304","Serenissime","Grenier"
"305","Serenissime","Gabare"
"306","Serenissime","Ingénieur"
