"ID","Nom","Type","Deplacement","TypeDeplacement","PointsArmee","TauxProduction","TypeProduction","Evolution","ConditionPour","Nation","Pic","CargMat","CargMil","CargCiv","Detection","Discretion","Camouflage","Domaines","DomainesAttaq","Portee","Precision","Esquive","Couverture","PuissanceOff","PuissanceDef","Armure","Resistance","Rapidite","Moral","Loyaute","TauxProductionSec","TypeProductionSec","CargMV","ArretMarchand","AjustType","AjustTaux","CoutDricks","CoutUnitType","CoutUnitQ","CoutResType1","CoutResQ1","CoutResType2","CoutResQ2","CoutResType3","CoutResQ3","UnitProduite","Flag","Natures","NaturesAttaq","MaxPetitesCibles","Robustesse","ServantType","ServantMin","Attitude","NombrePourRencontres","TirEmbarque","RessourcesProduites1","RessourcesProduites2","UniteRequise","ProductionTypeUnite","ProductionNbrUnite","TempsDeConstruction","EnConstruction","RessourcesRecoltees","TauxRecolte","UniteRequise2","UniteRequise3","AjustRecolteUnite","AjustRecolteTaux","Medecine","CompetenceSpeciale","CompetenceTaux","ChefDeChantier","Terraform","SousType","DemantelerPour","Help","Disette","SousTypeCreatures","Sanitaire","Population","TechnoProhib","ProductionMaxUnite","EquivalentPaysan","AAbattre","ACouvrir","PonteAleatoire","EffetArmures","DegatsMorts","Imparable","TechnoAssoc","LogTypeProhib","UnitExistReq","NomVisible","RencontreAvec","NoteDeConstruction","PonteClassique","Irrigation","PersonnelMinimum","RealPOP","AEpargner","Producteur","LairType","EntretienRes","EntretienQuant","Formation","UniteRequise4","CoutResType4","CoutResQ4","EntretienMaj","PicNV","Endurance","Regime","PicType"
"1","Homme d&apos;arme","Soldat","5","MCFanLeger","6","","Def_Populo","","","","ynewhd.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","30","30","6","4","5","20","15","6","1","50","","","","","","","1","Paysan","1","Metal","7","Nourriture","15","Moral","6","30","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Feu de camp","","","1","20160224005617","","","Camp barbare","Manoir","","","","","","","","","","Les hommes d&apos;armes sont les unités militaires les plus courantes, leur rôle est plutôt défensif bien qu&apos;ils soient efficaces en assaut comme soutien d&apos;unités plus entrainées.","","Soldat_Defense","","","","","","Conscrits","","","Double","Moitier","","","BS_BA_XX","","","","","","","","2","1","1","","","","","","","","","","30","Omnivore",""
"2","Pavois","Soldat","5","MCFanLourd","8","","Def","","","","newshield.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","27","35","6","5","6","35","16","5","1","50","","","","","","","3","Paysan","1","Metal","8","Bois","6","Nourriture","12","24","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Tour de guet","","","3","20160224005617","","","Pavois","","","","","","","","","","","","","Soldat_Defense","","","","","","Conscrits","","","Double","Moitier","","","BS_BA_XX","","","","","","","","2","1","1","","","","","","Moral","6","","","45","Omnivore",""
"3","Tortue","Soldat","6","MCFanLourd","24","","Despo","","","","newtortue.jpg","0","0","","65","25","0","Terrestre","Terrestre","1","42","42","6","6","6","35","17","5","1","60","","","","","","","2","Paysan","1","Acier","4","Bois","9","Nourriture","9","18","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Caserne","","","5","20160319130704","","","Tortue","Phalange","","","","","","","","","","","","Soldat_Attaque_Soldat_Defense","","","","","","Soldats","","","","Moitier","","","BS","","","","","","","","2","2","2","","","","","","","","","","55","Omnivore",""
"4","Phalange","Soldat","5","MCFanLeger","36","","Def","","","","phal4.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","1","45","47","6","6","8","35","18","6","1","90","","","","","","","9","Paysan","1","Acier","9","Bois","6","Nourriture","9","18","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Donjon","","","8","20160224030401","","","Redoute","","","","","","","","","","","","","Soldat_Defense","","","","","","","","","","Moitier","","","BS","01_Armurerie","","","","","","","2","3","3","","","","","","","","","","65","Omnivore",""
"5","Armure mécanisée","Soldat","5","MCFanLourd","215","","Techno","","","","armure mecanisee.png","0","0","","65","15","0","Terrestre","Terrestre","2","52","37","6","10","12","65","30","5","1","60","","","","","","","6","Saboteur","9","Acier","9","Engrenages","3","Charbon","12","9","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","18","","","","Ingénieur militaire","","","14","20160529131116","","","","","","","","Confusion","1","","","","","","","Soldat_Defense","","","","","","","","yes","Moitier","","demolition","","BS_NA","01_Atelier mécanisé","","","","","","","2","14","14","","","","","","","","","","95","Omnivore",""
"6","Milice","Civil_Guardien","5","MCFanLeger","6","","Despo","","","","mili.jpg","0","0","","85","25","0","Terrestre","Terrestre","1","30","25","6","4","4","20","12","5","5","60","","","","","","","3","Manants","1","Metal","2","Nourriture","3","Moral","3","6","Mil","Vivant","Vivant_Monstre_Mort_Revolte","1","","Milicien","","Attaque","","","","","Poste de milice","","","3","20160225165944","","","","","","","","Vol","0","","","","","Bien qu&apos;étant des combattants relativement médiocres, les milices constituent les unités indispensables pour mater les révoltes.","","Guard","","PasDeDon","","","","","","","Double","Moitier","","_Brigand","BS","","","","","","","","3","1","1","","","","Poste de milice","","","","","","40","Omnivore",""
"7","Agent","Civil_Guardien","5","MCFanLeger","6","","Despo_Info","","","","newagent.jpg","0","0","","110","50","15","Terrestre","Terrestre","1","35","30","6","4","4","15","12","10","7","65","","","","","","","","Milice","6","Papier","1","Nourriture","3","Moral","3","3","Pce","Vivant","Vivant_Monstre_Mort_Revolte","1","","Milicien","","Chasse_Furtifs","","","","","Poste de milice","","","5","20160225165944","","","","","","","","Contre-espionnage","30","","","","","","","Guard","","PasDeDon","","","","","","","Double","Moitier","","_Brigand","","","","","","","","","4","3","3","","","","Poste de milice","","","","","","50","Omnivore",""
"8","Contre espionnage","Civil_Guardien","5","MCFanLeger","53","","Info","","","","newcontrespio.jpg","0","0","_Espion","140","50","15","Terrestre","Terrestre_Marin","2","40","50","10","4","4","5","15","11","10","70","","","_Milicien","","","","9","Eclaireur","6","Papier","3","Tissu","2","Acier","1","3","Pce","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Furtifs","","yes","","","Grande halle","","","7","20160529131634","","","Etat major","Bibliothèque","","","","Contre-espionnage","120","","","","","L&apos;unité de contre-espionnage est la seule unité qui peut suivre une unité furtive durant toute une journée ou plus.","","Guard","","","","","","","yes","","","Tiers","poison","_Brigand","","","Variable_HighClass","","","","","","4","12","12","","","","Université","Hôtel de ville","Drogues","1","","","70","Omnivore",""
"9","Enquêteur","Civil_Guardien","5","MCFanLeger","65","","Info","","","","newenqu.jpg","0","0","_Espion","150","100","15","Terrestre","Terrestre_Marin","2","50","45","20","6","6","20","18","13","10","80","","","_Milicien","","","","12","Contre espionnage","3","Papier","3","Acier","1","Tissu","2","3","Spy","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Furtifs","3","yes","","","Geôle","","","14","20160301133654","","","Monastère","Banque","","","","Assassinat","35xHLL","","","","","L&apos;enquêteur peut examiner toutes les unités visibles présentes sur le territoire où il se trouve.&#xD;&#xA;Il verra les noms réels des unités ainsi que leurs créateurs (ancien propriétaire).&#xD;&#xA;Pour cela, il suffit d&apos;avoir 18 unités militaires sur le territoire et d&apos;explorer avec lui.&#xD;&#xA;Attention, cette opération fait perdre une journée de mouvement à toutes les unités présentes!&#xD;&#xA;Cela ne fonctionne que sur les unités de votre nation, mais sur toutes les autres également si vous avez un bâtiment où un barrage sur le territoire.","","Guard","","","","","","","yes","","Moitier","Moitier","yes","_Brigand","","","Variable_HighClass","","","yes","","","4","20","20","","","","","Contre espionnage (v)","Spiritueux","1","","","70","Omnivore",""
"10","Zombie","Creature_Mort","4","MCFanLourd","1","-1","Necro","","","","Zombies.jpg","0","0","","65","35","10","Terrestre","Terrestre","1","20","10","5","3","3","5","10","2","0","100","","","","","","","","Esclave","1","Moral","10","","","","","2","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","9","yes","Moral","","Tumulus","","","0","20160313122833","_Cereales_Fruits_Vegetaux_Bois_Pierre_Cadavres frais_","2","","","","","","Aggression","3","","","Necromancie","","","","Recolteurs","-1","","Bardes","","","Zombies","yes","","Double","Moitier","vision","","","","","","","necropole","","","5","2","2","","","","","","","","","","100","Charognard",""
