"ID","MCFanLeger","MCFanLourd","MCCheval","MCEngin","MCVolant","MCBateau","Nom","Tri","Couverture","Camouflage","Type","ResTypeA","ResTypeB","ResTypeC","ResQuantA","ResQuantB","ResQuantC","GenMonType","GenMalType","GenMonChance","Emplacements","HexoName","NomComplet","Elevation","MCEclaireurs","GenMonstre","Ouvert","MCAmphib","ResTypeD","ResQuantD","ResTypeE","ResQuantE","MCBatCab","GenMalChance","TerraformTo","Irrigation","MCTrav","MCBatMix"
"2","6","6","4","8","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","80","80","25","","","10","13","Farmland","Plaines","1","5","Creature1","yes","","Pierre","6","Bois","10","9999","","Terres Agricoles","1","4","9999"
"3","8","10","8","14","4","9999","","2","20","35","8 Foret","Cereales","Vegetaux","Gibier","5","50","30","","","10","11","Light Forest","Forêt","1","5","Creature2","yes","","Pierre","8","Bois","90","9999","","","","4","9999"
"4","14","28","20","40","4","9999","Marais","3","35","25","1 Marecageux","Cereales","Vegetaux","Gibier","5","75","10","Moyen","Maladie","10","10","Marsh","Marécages","0","9","Creature4","yes","","","","Bois","5","9999","5","","1","4","9999"
"5","10","14","10","16","4","9999","","4","15","25","4 Pauvre","","Vegetaux","Gibier","","20","12","","","10","11","Hills","Collines","2","7","Creature10","yes","","Pierre","50","Bois","7","9999","","","","4","9999"
"6","18","32","50","70","5","9999","Montagnes","5","40","50","4 Pauvre","","Vegetaux","Gibier","","10","5","Moyen","","10","9","Mountains","Montagnes","3","13","Creature3","no","","Pierre","100","Bois","5","9999","","","","5","9999"
"11","9999","9999","9999","9999","9999","4","","11","0","0","1 Eau","","","","","","","","Tempête","5","0","Ocean","Océan","-2","9999","Creature14","yes","","","","","","9999","6","","","9999","5"
"12","8","10","8","16","4","9999","","12","25","35","2 Mort","","","","","","","","Maladie","10","11","Dead Forest","Forêt morte","1","5","Creature8","yes","","Pierre","10","Bois","100","9999","1","","","4","9999"
"16","10","14","12","14","4","9999","Desert","15","0","0","3 Desertique","","Vegetaux","Gibier","","3","3","","Soif","0","13","Sandy Desert","Désert de sable","1","7","Creature6","yes","","Pierre","8","","","9999","10","","","4","9999"
"17","6","6","6","8","4","9999","","16","30","25","3 Desertique","Cereales","Vegetaux","Gibier","30","125","15","","Maladie","10","12","Oasis","Oasis","1","5","Creature2","yes","","Pierre","8","Bois","10","9999","1","","1","4","9999"
"18","9","9","9","11","4","9999","","17","25","20","6 Epineux","","Vegetaux","Gibier","","35","15","","Soif","10","11","Heavy Cactus","Caatinga","1","6","Creature2","yes","","Pierre","15","Bois","8","9999","1","","","4","9999"
"19","20","36","36","70","4","9999","","18","45","70","9 Jungle","","Vegetaux","Gibier","","85","35","Grand","Maladie","15","10","Jungle","Jungle","1","13","Creature5","no","","Pierre","8","Bois","95","9999","5","","","4","9999"
"20","14","24","36","60","4","9999","Dunes","20","20","20","3 Desertique","","","","","","","Tempete","Soif","0","10","Sand Dunes","Dunes de sable","2","11","Creature6","yes","","","","","","9999","15","","","4","9999"
"21","9999","9999","9999","9999","4","8","","21","20","15","1 Eau","","Vegetaux","","","25","","","Récifs","10","2","Reefs","Récifs","0","9999","Creature9","no","","Pierre","15","Bois","5","6","30","","","9999","6"
"37","10","15","12","20","4","9999","Foret / Collines","4","37","50","8 Foret","","Vegetaux","Gibier","","40","30","Moyen","","10","10","Forested Hills","Forêt / Collines","2","8","Creature10","no","","Pierre","25","Bois","80","9999","","","","4","9999"
"39","6","6","4","8","4","9999","","","0","10","5 Normale","Cereales","Vegetaux","Gibier","25","100","85","","","5","13","Grazing Land","Pâturages","1","5","Creature1","yes","","Pierre","8","Bois","10","9999","","","1","4","9999"
"40","14","28","20","40","4","9999","Mangrove","3","50","40","1 Marecageux","","Vegetaux","Gibier","","50","15","Moyen","Maladie","10","9","Swamp","Mangrove","0","9","Creature4","no","","","","Bois","50","9999","7","","1","4","9999"
"42","10","14","10","16","4","9999","","4","15","30","5 Normale","Cereales","Vegetaux","Gibier","25","50","25","","","10","11","Grassy Hills","Prairie / Collines","2","7","Creature10","yes","","Pierre","40","Bois","10","9999","","","","4","9999"
"43","6","6","4","8","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","65","100","50","","","10","13","Grassland","Prairie","1","5","Creature1","yes","","Pierre","8","Bois","10","9999","","Pâturages","1","4","9999"
"44","6","6","4","8","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","125","75","20","","","0","13","Cultivated Farmland","Terres Agricoles","1","5","Creature1","yes","","Pierre","6","Bois","10","9999","","","1","4","9999"
"45","9","12","12","18","4","9999","Foret dense","2","30","45","8 Foret","","Vegetaux","Gibier","","75","40","Moyen","Maladie","10","10","Heavy Forest","Forêt dense","1","5","Creature2","no","","Pierre","8","Bois","125","9999","1","","","4","9999"
"48","9999","9999","9999","9999","9999","4","","11","10","0","1 Eau","","","","","","","","Tempête","10","0","Deep Ocean","Abysses","-3","9999","Creature14","yes","","","","","","9999","12","","","9999","8"
"49","9999","9999","9999","9999","6","6","","11","0","0","1 Eau","","","","","","","","Récifs","15","2","Sea","Mer","-1","9999","Creature9","yes","","","","","","5","5","","","9999","5"
"50","9999","9999","9999","9999","4","8","","11","0","0","1 Eau","","","","","","","","Maladie","10","2","Deep Sea","Lac","-1","9999","Creature9","yes","","","","","","4","1","","","9999","5"
"51","8","8","8","8","4","9999","","15","0","5","3 Desertique","","Vegetaux","Gibier","","6","6","","Soif","0","13","Rocky Desert","Désert rocailleux","1","6","Creature12","yes","","Pierre","40","","","9999","5","","","4","9999"
"52","6","6","4","8","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","10","25","10","","Froid","10","13","Moss","Toundra","0","5","Creature4","yes","","Pierre","12","Bois","10","9999","2","","1","4","9999"
"53","20","36","50","70","5","9999","Hautes montagnes","5","50","50","4 Pauvre","","Vegetaux","Gibier","","5","3","GrandVolant","Froid","10","8","Snowcapped Mountains","Hautes montagnes","3","15","Creature3","no","","Pierre","120","Bois","2","9999","3","","","5","9999"
"54","18","32","50","70","5","9999","Volcan","5","40","50","0 Lave","Cereales","Vegetaux","Gibier","25","25","15","MoyenVolant","","15","9","Dormant Volcano","Volcan inactif","3","13","Creature13","no","","Pierre","100","Bois","10","","","","","5","9999"
"55","20","36","50","70","7","9999","Volcan actif","5","50","50","0 Lave","","","","","","","Tempete","Soif","10","7","Volcano","Volcan actif","3","15","Creature13","no","","Pierre","100","","","","3","","","7","9999"
"56","7","7","5","10","4","9999","Plaines rocailleuses","1","0","15","4 Pauvre","","Vegetaux","Gibier","","10","8","PetitVolant","Soif","10","13","Grassland Poor","Plaines rocailleuses","1","5","Creature12","yes","","Pierre","50","Bois","5","9999","1","","","4","9999"
"57","6","6","4","8","4","9999","","1","0","35","2 Mort","","","","","","","","Soif","10","13","Dead Fields","Terres mortes","1","5","Creature8","yes","","Pierre","10","Bois","5","9999","2","","","4","9999"
"58","11","13","9","13","4","9999","Lave refroidie","11","10","15","0 Lave","","Vegetaux","Gibier","","5","5","Tempete","Soif","5","6","Lava","Lave refroidie","1","7","Creature13","yes","","Pierre","50","Bois","3","","8","","","4","9999"
"59","20","36","50","70","5","9999","Glacier","5","50","45","2 Neige","","","Gibier","","","2","MoyenVolant","Froid","10","4","Glacier","Glacier","3","15","Creature7","no","","Pierre","60","","","9999","15","","","5","9999"
"60","7","8","7","9","4","9999","","15","0","5","2 Neige","Cereales","Vegetaux","Gibier","8","20","12","","Froid","10","11","Snow Fields","Plaines (enneigées)","1","6","Creature7","yes","","Pierre","6","Bois","8","9999","10","","","4","9999"
"61","18","32","50","70","5","9999","","5","35","50","2 Mort","","","","","","","","Soif","10","8","Broken Lands","Terres brisées","3","13","Creature8","no","","Pierre","100","Bois","5","9999","15","","","5","9999"
"62","10","15","10","20","4","9999","Foret morte / Collines","4","32","50","2 Mort","","","","","","","Moyen","Maladie","10","10","Dead Forest Hills","Forêt morte / Collines","2","8","Creature8","no","","Pierre","35","Bois","75","9999","1","","","5","9999"
"63","18","32","50","70","5","9999","","4","50","60","2 Mort","","","","","","","","Maladie","10","9","Dead Forest Mountains","Forêt morte / Montagnes","3","13","Creature8","no","","Pierre","75","Bois","50","9999","2","","","5","9999"
"64","18","32","50","70","5","9999","","4","55","65","8 Foret","","Vegetaux","Gibier","","30","12","","","10","9","Forested Mountains","Forêt / Montagnes","3","14","Creature3","no","","Pierre","50","Bois","50","9999","","","","5","9999"
"65","24","40","40","70","4","9999","","18","57","85","9 Jungle","","Vegetaux","Gibier","","60","30","","Maladie","15","9","Jungle Hills","Jungle / Collines","2","15","Creature5","no","","Pierre","25","Bois","55","9999","5","","","4","9999"
"66","8","10","12","18","4","9999","Taiga","2","35","40","7 Sapins","","Vegetaux","Gibier","","25","25","Petit","Maladie","10","10","Heavy Evergreen","Taïga","1","5","Creature2","no","","Pierre","12","Bois","150","9999","1","","","4","9999"
