"ID","HCM","HRM","HCMax","HRMax","Nom","CardinalV","CardinalH","ChanceBonus","NombreMult","Creature1","Creature2","Creature3","Creature4","Creature5","Creature6","Creature7","Creature8","Creature9","Creature10","MalBonus","BonOeil","MauvaisOeil","Sanctuaire","Hall","SousRegion","EnLigne","PtNom","Creature11","Creature12","Creature13","Creature14","TerrainsInclus"
"2","0","0","","","Mer Perdue","X Air","X Eau","0","1","Centaures","Centaures","Hippogriffe","Corsaire","Combattants embarqués","Brigands","Draugr","Fantômes","Elémentaire d&apos;eau","Contrebandiers","5","","","","","no","yes","M.Perdue","Teiikos","Pirate","Troll","Léviathan","_Neige_x13__Oceans_x249__Rivieres_x7__Mers_x13__Montagnes_x2__Mort_x1_"
"3","18","0","","","Iles de Glace","X Air","X Eau","0","1","Faunes","Homme-bêtes","Furies","Byakhee","Combattants embarqués","Beholder","Yéti","Elémentaire d&apos;air","Grand serpent de mer","Ours brun","5","","","","","no","yes","Ile.Glace","Ruxs","Drogué Kobold","Nephilim","Requins mécaniques","_Oceans_x80__Mers_x89__Neige_x45__Rivieres_x20__Montagnes_x18__Volcans_x6__Rocailles_x3__Mort_x15__Marecages_x5__Plaines_x4_"
"4","34","0","","","Côte Gelée","X Air","Eau","5","1","Garn","Ruxs","Géant","Créature","Combattants embarqués","Archer monté","Sasquash","Ombres","Anémone des récifs","Ours brun","5","","","","","no","yes","C.Gelée","Selkies","Spectres","Vampire","Poissons des profondeurs","_Neige_x34__Mers_x68__Oceans_x62__Rivieres_x32__Montagnes_x13__Plaines_x13__Collines_x13__Forets_x14__Mort_x5__Rocailles_x9__Marecages_x22_"
"5","52","0","","","Collines de Glace","X Air","Centre","4","1","Berserkers","Lycanthrope","Hydre","Homme-bêtes","Combattants embarqués","Barbares","Ours polaire","Fantômes","Griffon","Ours brun","5","","","","","no","yes","Col.Glace","Ruxs","Ours noir","Kobolds","Grand serpent de mer","_Mers_x42__Neige_x23__Oceans_x31__Rivieres_x23__Montagnes_x41__Collines_x34__Plaines_x32__Mort_x6__Forets_x38__Rocailles_x15_"
"6","68","0","","","Grand Chenal","X Air","Centre","0","1","Berserkers","Garn","Hydre","Harpies","Combattants embarqués","Furies","Yéti","Goule","Anémone des récifs","Auxiliaires Barbares","5","","","","","no","yes","Grd.Chenal","Ruxs","Elémentaire de terre","Phénix","Drakkar","_Mers_x52__Neige_x24__Mort_x8__Oceans_x72__Plaines_x19__Montagnes_x39__Rivieres_x18__Forets_x14__Rocailles_x4__Collines_x23__Marecages_x11__Volcans_x1_"
"7","86","0","","","Grande Froide","X Air","Terre","0","1","Loup-garous","Ogre","Cyclope","Auxiliaires Barbares","Combattants embarqués","Ours noir","Ours polaire","Banshees","Furies","Hallebardier Huruk","5","","","","","no","yes","Grd.Froide","Jötunn","Ours noir","Gnome","Drakkar","_Mort_x18__Neige_x67__Rivieres_x21__Forets_x31__Collines_x14__Marecages_x10__Montagnes_x23__Mers_x47__Oceans_x52__Rocailles_x2_"
"8","102","0","","","Pont Froid","X Air","X Terre","10","1","Barbares","Léprechaun","Karhu","Byakhee","Combattants embarqués","Troll","Yéti","Sasquash","Drakkar","Ours noir","15","","","","","no","yes","P.Froid","Ruxs","Ruxs","Chamane","Béhémoth","_Neige_x66__Marecages_x22__Oceans_x41__Forets_x16__Rivieres_x20__Mort_x34__Montagnes_x33__Mers_x14__Plaines_x5__Rocailles_x14__Collines_x3__Deserts_x17_"
"9","0","12","","","Mer des Morts","Air","X Eau","0","1","Fantômes","Ombres","Vers des roches","Lamies","Navire Fantôme","","Combattants embarqués","Démons","Noyés","Géant","10","","","","","no","yes","Mer.Morts","Dagon","Fantassins zombies","Seigneur Liche","Navire Fantôme","_Oceans_x245__Mers_x25__Rivieres_x5__Mort_x9__Collines_x1_"
"10","18","12","","","Mer des Glaces","Air","X Eau","0","1","Firebolgs","Farfadets","Sasquash","Ombres","Marin","","Elémentaire d&apos;air","Fantômes","Goguelins","Chiens errants","10","","","","","no","yes","M.Glaces","Yéti","Pirate","Gnome","Grand serpent de mer","_Oceans_x233__Rivieres_x7__Mers_x39__Marecages_x3__Plaines_x3_"
"11","34","10","","","Baie Vaseuse","Air","Eau","8","1","Centaures","Farfadets","Géant","Goule","Combattants embarqués","","Homme-bêtes","Revenants","Requins mécaniques","Nixies","2","","","","","no","yes","B.Vaseuse","Amalgame","Calydon","","Poissons des profondeurs","_Mort_x6__Mers_x61__Rivieres_x28__Neige_x3__Rocailles_x20__Marecages_x41__Collines_x9__Forets_x20__Plaines_x33__Oceans_x64_"
