"ID","DureeTourCombat","FacteurDeplacement","Regles","NombreDeBasePourDiscretion","DiviseurDiscretionPetitsNombre","DiviseurDiscretionGrandsNombre","MaxNumAdjDiscretion","MaxDiscretion","MaxDetection","MaxPrecision","MaxEsquive","ModuleInscriptions","CartoCost","MaxDeplaRestantTotal","MaxDeplaRestantCumul","DetecteurParXUnits","MultPuissance","AddPuissanceFortify","AddCouvertureFortify","AvantageDuNombre","MultPrecision","MultPrecSurprise","AAbattre","ACouvrir","EPri3Couvrir","EPri3Abattre","EPri3Autres","Marins","Servants","EPri3Canons","MeleeHinderMax","MeleeHinderSiegeMult","Fatigue","FatigueLevels","RalentiHeuresAttente","RalentiJoursAlerte","MinCouvertureRempart","DivPuisRelServants","MinPuisRelAAbattre","ResistancePourMaxAttackers1","DiffDatePlayerRalenti","DiffDateRealRalenti","FaimDesUnites","Disette","Famine","ChancesDeRecoltes","BonMoral","ChancePaysanMoral","PopulationMoralNormal","PopulationMoralOverDiv","BaseMoralCase","BatLimit","BatSmallLimit","PonteVagabond","RepaireChance","RepaireBaseRes","Charbon1Pour","ExclusDesCombats","IDEclaireurs","EntretienPierres","EntretienBois","SeuilPierres","SeuilBois","SeuilChevrons","NumBatPourProlif","Veteran","Phares","BlocageAttaquant","NoBomb","Lepreux","CartoUnits","SpyUnits","NoGlouGlou","SuicideTour4","CombatWait"
"1","15","2","Base","18","1","10","200","150","95","95","90","out","65","24","3","37","4","0","2","5","7","9","","","10","40","30","_567_574_73_366_353_514_352_24_386_72_384_566_615_616_705_706_68_606_71_385_357_382_736_737_839_840_994_995_1146_1147_1148_1149_1166_1167_879_880_1184_1186_1192_1204_1205_27_25_20_1215_1217_1257_1258_1300_1301_1303_1304_1370_1371_1541_952_953_1767_1768_1827_1828_1834_1835_1836_1837_1838_1839_587_1395_1396_1398_1399_","_226_583_460_533_43_539_39_536_47_45_587_738_675_751_769_583_606_994_995_1192_1226_1227_1239_736_737_1742_1743_1730_1731_1732_1744_1745_1310_1732_843_1131_683_684_353_514_1415_1416_1370_1371_429_682_1047_1048_1049_1050_832_833_928_","22","300","2","50","50","4","21","50","6","15","5","10","10","300","33","20","4","35","2","1500","8","80","650","85","_Vagabond_Mendiant_Araign1es1g1antes_Chiens1de1guerre_Chiens1de1chasse_An1mone1des1r1cifs_Korigans_M1duses1corrosives_Gueux_Manants_Ivrognes_","15","50","300","_437_438_492_113_108_443_134_152_161_752_163_135_138_584_585_114_470_748_726_165_166_837_","_Eclaireur_Eclaireur11v1_Patrouilleur_Patrouilleur11v1_Espion_Espion11v1_Vagabond11v1_Voleur_Voleur11v1_Assassin_Assassin11v1_Fant1mes_Hors1la1loi_Hors1la1loi11v1_Perce1lignes_Perce1lignes11v1_Chroniqueur_Chroniqueur11v1_Catamaran_Chroniqueur1mont1_Chroniqueur1mont111v1_Eclaireur1mont1_Eclaireur1mont111v1_Escorteur1marchand_Escorteur1marchand11v1_Rafleurs_Rafleurs11v1_Mahoud1Mercenaire11v1_Sbire1Mahoud11v1_Mercenaire11v1_Pisteur_Barde_Barde11v1_Gnome_Kutzog_Kutzog11v1_Auxiliaires1Barbares11v1_Guetteur_Guetteur11v1_Canot_Dernier1pont11v1_Tirailleurs11v1_Archer1furtif_Archer1furtif11v1_Agent_Agent11v1_Contre1espionnage_Contre1espionnage11v1_Taupe_Taupe11v1_Guetteur1Mahoud_Guetteur1Mahoud11v1_Avant1coureur1mont1_Avant1coureur1mont111v1_Avant1coureur_Avant1coureur11v1_Capitaine1de1navire_Capitaine1de1navire11v1_Argus_Argus11v1_Fureteur_Fureteur11v1_Laiti1re1du1Chaos_Ombres_Komando1Gobelin_Komando1Gobelin11v1_Orcs1sauvages11v1_Dundee_Coupe1jarret_Coupe1jarret11v1_D1trousseur_D1trousseur11v1_Vigie_Vigie11v1_Vahram_Bras droit_Bras droit11v1_Chef1de1bande_Chef1de1bande11v1_Astra1Babotchkine_Achille1Zavatta_Avant1garde_Avant1garde11v1_Fouinards_Fouinards11v1_Fouinards1mont1s_Fouinards1mont1s11v1_Guide_Guide11v1_Katrina1II_Upinde_Upinde11v1_Matuta11v1_Bandouliers_Bandouliers11v1_Shiru_Shiru11v1_Aigrefin_Chasseur1de1primes_Chasseur1de1primes11v1_Mamagob_Mamagob11v1_","8","8","8","8","3","2","130","_112_182_351_175_179_353_514_358_1185_1370_","24","_677_855_809_120_230_227_681_477_622_623_481_614_478_771_731_801_889_476_565_658_141_582_475_588_912_359_117_118_","_L1preux_Rampant1pestif1r1_","_Eclaireur_Eclaireur11v1_Patrouilleur_Patrouilleur11v1_Espion11v1_Perce1lignes11v1_Chroniqueur11v1_Chroniqueur1mont111v1_Eclaireur1mont1_Eclaireur1mont111v1_Escorteur1marchand11v1_Pisteur_X2_Guetteur11v1_Cartographe_X2_Timonier_Timonier11v1_Avant1coureur1mont1_Avant1coureur1mont111v1_Avant1coureur_Avant1coureur11v1_Capitaine1de1navire_Capitaine1de1navire11v1_Laiti1re1du1Chaos_Komando1Gobelin_Komando1Gobelin11v1_Vahram_Bras1droit_Bras1droit11v1_Chef1de1bande_Chef1de1bande11v1_Astra1Babotchkine_Achille1Zavatta_Fouinards_Fouinards11v1_Fouinards1mont1s_Fouinards1mont1s11v1_Guide_Guide11v1_Mamagob_Mamagob11v1_","_Espion_x12_Espion11v1_x18_Vagabond11v1_Chroniqueur11v1_Pisteur_x2_Agent_x0_Agent11v1_Contre1espionnage_x2_Contre1espionnage11v1_x3_Enqu1teur_x5_Enqu1teur11v1_x8_Taupe_x2_Taupe11v1_x4_Informateur_x2_Percepteur_x3_Mouchard_Sergent1de1millice_Brigadier_Brigadier11v1_Succubes11v1_Ombres_Argus_x5_Argus11v1_x8_Fureteur_x3_Fureteur11v1_x3_Aigrefin_x5_","_Phare_Repaire1de1pirates_Bourg1de1corsaires_Bourg1des11cumeurs_Port_Cimeti1re1marin_Elevage1d1hu1tres_Ponton1Flottant_Village1lacustre_Bou1es_Iceberg_Objectif1myst1rieux_Soleil1de1plomb_T1n1bres_Cit11engloutie_Vestiges_","_Kamigob_Br1lot_Pi1ges1magiques_","8"
"2","15","2","Copy 5 decembre","30","4","8","65","90","95","95","90","out","65","27","4","21","7","2","15","8","8","8","_226_91_93_94_89_39_40_43_70_","_226_91_93_94_89_","20","40","30","_68_71_72_73_","_226_","30","150","3","25","14","2","3","50","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","15","2","Copy 20 décembre","20","3","4","65","90","95","95","90","out","65","20","3","31","7","2","15","7","9","8","_226_91_93_94_89_39_40_43_70_","_226_91_93_94_89_","15","40","30","_68_71_72_73_","_226_","30","150","3","25","14","2","3","50","9","15","6","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","15","2","Copy 13 janvier","20","3","4","65","90","95","95","90","out","65","20","3","31","6","2","15","7","9","8","_226_91_93_94_89_39_40_43_70_","_226_91_93_94_89_","15","40","30","_68_71_72_73_","_226_","30","150","3","25","14","2","3","50","9","15","6","3","3","9","18","20","5","100","3","1500","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","15","2","Copy 6 février","20","3","4","65","90","95","95","90","out","65","20","3","31","5","2","15","2","7","9","_226_91_93_94_89_39_40_43_70_","_226_91_93_94_89_","15","40","30","_68_71_72_73_","_226_","30","150","3","25","14","2","3","50","9","15","9","3","3","10","19","20","5","50","3","1500","8","80","500","","","","","","","","","","","","","","","","","","","","","","",""
"6","15","2","Copy 14 mars","20","3","4","65","90","95","95","90","out","65","20","3","37","5","2","15","2","7","9","_226_91_93_94_89_39_40_43_70_","_226_91_93_94_89_","15","40","30","_68_71_72_73_","_226_583_460_533_43_539_39_536_47_45_","30","150","3","25","14","2","3","50","9","15","9","3","3","10","19","20","5","50","3","1500","8","80","500","95","","","","","","","","","","","","","","","","","","","","","",""
"7","15","2","Copy 1 Avril","20","3","4","65","90","95","95","90","out","65","20","3","37","5","2","15","2","7","9","","","15","40","30","_68_71_72_73_","_226_583_460_533_43_539_39_536_47_45_587_","22","150","3","25","14","2","3","50","6","15","9","3","3","10","19","20","5","50","3","1500","8","80","500","95","_235_322_498_458_553_558_234_","","","","","","","","","","","","","","","","","","","","",""
"8","15","2","Copie Mai","20","3","4","65","90","95","95","90","out","65","24","3","37","5","2","15","2","7","9","","","15","40","30","_68_71_72_73_","_226_583_460_533_43_539_39_536_47_45_587_","22","150","3","25","14","2","3","50","6","15","9","3","3","10","19","20","5","35","2","1500","8","80","500","95","_Vagabond_Mendiant_Araign1es1g1antes_Chiens1de1guerre_Chiens1de1chasse_An1mone1des1r1cifs_Korigans_L1prechaun_M1duses1corrosives_Nu1e1de1corbeaux_","","","","","","","","","","","","","","","","","","","","",""
"9","15","2","Copie 2013-11-23","18","2","4","65","150","95","95","90","out","65","24","3","37","5","0","15","2","6","9","","","10","40","30","_567_574_73_366_353_514_352_24_386_72_384_566_615_616_705_706_68_606_71_385_357_382_736_737_","_226_583_460_533_43_539_39_536_47_45_587_738_675_751_769_583_832_833_","22","300","2","15","14","2","3","50","6","15","7","10","10","10","20","20","4","35","2","1500","8","80","650","85","_Vagabond_Mendiant_Araign1es1g1antes_Chiens1de1guerre_Chiens1de1chasse_An1mone1des1r1cifs_Korigans_M1duses1corrosives_Nu1e1de1corbeaux_Bagauds_Brigands_Gueux_Manants_","15","50","750","_437_438_492_113_108_443_134_152_161_752_163_135_138_584_585_114_470_748_726_","_Eclaireur_Eclaireur11v1_Patrouilleur_Espion_Espion11v1_Vagabond11v1_Voleur_Voleur11v1_Assassin_Assassin11v1_Fant1mes_Hors1la1loi_Hors1la1loi11v1_Perce1lignes_Perce1lignes11v1_Chroniqueur_Chroniqueur11v1_Catamaran_Chroniqueur1mont1_Chroniqueur1mont111v1_Eclaireur1mont1_Eclaireur1mont111v1_Escorteur1marchand_Escorteur1marchand11v1_Rafleurs_Rafleurs11v1_Mahoud1Mercenaire11v1_Sbire1Mahoud11v1_Barbares11v1_Mercenaire11v1_Pisteur_Barde_Barde11v1_Gnome_","8","8","8","8","3","2","75","_112_182_351_175_179_353_514_358_","24","","","","","","",""
"10","15","2","Copy-2014-03","18","2","4","65","150","95","95","90","out","65","24","3","37","4","0","2","5","7","9","","","10","40","30","_567_574_73_366_353_514_352_24_386_72_384_566_615_616_705_706_68_606_71_385_357_382_736_737_839_840_","_226_583_460_533_43_539_39_536_47_45_587_738_675_751_769_583_","22","300","2","50","50","2","3","50","6","15","7","10","10","10","20","20","4","35","2","1500","8","80","650","85","_Vagabond_Mendiant_Araign1es1g1antes_Chiens1de1guerre_Chiens1de1chasse_An1mone1des1r1cifs_Korigans_M1duses1corrosives_Nu1e1de1corbeaux_Bagauds_Brigands_Gueux_Manants_","15","50","300","_437_438_492_113_108_443_134_152_161_752_163_135_138_584_585_114_470_748_726_165_166_837_","_Eclaireur_Eclaireur11v1_Patrouilleur_Espion_Espion11v1_Vagabond11v1_Voleur_Voleur11v1_Assassin_Assassin11v1_Fant1mes_Hors1la1loi_Hors1la1loi11v1_Perce1lignes_Perce1lignes11v1_Chroniqueur_Chroniqueur11v1_Catamaran_Chroniqueur1mont1_Chroniqueur1mont111v1_Eclaireur1mont1_Eclaireur1mont111v1_Escorteur1marchand_Escorteur1marchand11v1_Rafleurs_Rafleurs11v1_Mahoud1Mercenaire11v1_Sbire1Mahoud11v1_Mercenaire11v1_Pisteur_Barde_Barde11v1_Gnome_Kutzog_Kutzog11v1_Auxiliaires1Barbares11v1_Guetteur_Guetteur11v1_Canot_Dernier1pont11v1_Tirailleurs11v1_","8","8","8","8","3","2","75","_112_182_351_175_179_353_514_358_","24","_677_855_809_120_230_227_681_477_622_623_481_614_478_771_731_801_889_476_565_658_141_582_475_588_912_359_117_118_","","","","","",""
